,Holiday,Year,Month,Day,Hour,Minute,DofW,Weekend,Normal,Actual,Anomaly,Unit,area
4087,0,2016,3,12,23,0,5,1,2359.0498985895833,1894.7831063910446,-464.2667921985387,GWh,ch
4088,0,2016,3,13,23,0,6,1,2327.2058841795833,1848.5450539294773,-478.6608302501061,GWh,ch
4089,0,2016,3,14,23,0,0,0,2296.04175378,1806.381025569139,-489.66072821086095,GWh,ch
4090,0,2016,3,15,23,0,1,0,2265.380454265,1761.6802892136857,-503.70016505131434,GWh,ch
4091,0,2016,3,16,23,0,2,0,2235.0957507083335,1714.6453157886153,-520.4504349197182,GWh,ch
4092,0,2016,3,17,23,0,3,0,2205.221364751667,1673.9032879171425,-531.3180768345244,GWh,ch
4093,0,2016,3,18,23,0,4,0,2175.757296395,1641.0366777901575,-534.7206186048427,GWh,ch
4094,0,2016,3,19,23,0,5,1,2146.7035456383333,1613.5201260463273,-533.183419592006,GWh,ch
4095,0,2016,3,20,23,0,6,1,2118.060112486875,1575.1007627352335,-542.9593497516414,GWh,ch
4096,0,2016,3,21,23,0,0,0,2089.8269969402086,1522.3404401591426,-567.4865567810659,GWh,ch
4097,0,2016,3,22,23,0,1,0,2062.0041989935416,1479.5603927512366,-582.4438062423051,GWh,ch
4098,0,2016,3,23,23,0,2,0,2034.591718646875,1438.4191479282908,-596.1725707185842,GWh,ch
4099,0,2016,3,24,23,0,3,0,2007.5895559002083,1402.8541069432642,-604.7354489569441,GWh,ch
4100,0,2016,3,25,23,0,4,0,1980.9977107535417,1373.2775536485922,-607.7201571049495,GWh,ch
4101,0,2016,3,26,23,0,5,1,1954.368979018859,1354.6000087801392,-599.7689702387197,GWh,ch
4102,0,2016,3,27,22,0,6,1,1929.0449732602083,1442.855043010398,-486.18993024981023,GWh,ch
4103,0,2016,3,28,22,0,0,0,1903.6840809135417,1416.5335025748466,-487.15057833869514,GWh,ch
4104,0,2016,3,29,22,0,1,0,1878.7335061668753,1376.653944923413,-502.0795612434622,GWh,ch
4105,0,2016,3,30,22,0,2,0,1853.7747336035418,1344.9782754063797,-508.7964581971621,GWh,ch
4106,0,2016,3,31,22,0,3,0,1827.542184956875,1317.2535343130126,-510.2886506438624,GWh,ch
4107,0,2016,4,1,22,0,4,0,1800.5002987014584,1301.4884843312589,-499.01181437019955,GWh,ch
4108,0,2016,4,2,22,0,5,1,1773.8216507460418,1302.1493286111622,-471.67232213487955,GWh,ch
4109,0,2016,4,3,22,0,6,1,1747.5062410854168,1368.0990600420312,-379.40718104338566,GWh,ch
4110,0,2016,4,4,22,0,0,0,1721.5540697147917,1357.5299935705275,-364.0240761442642,GWh,ch
4111,0,2016,4,5,22,0,1,0,1695.9651366341666,1353.593588856367,-342.3715477777996,GWh,ch
4112,0,2016,4,6,22,0,2,0,1670.7394418487502,1351.636450792927,-319.10299105582317,GWh,ch
4113,0,2016,4,7,22,0,3,0,1645.876985358125,1331.3781482204602,-314.49883713766485,GWh,ch
4114,0,2016,4,8,22,0,4,0,1621.3777671627083,1308.6229710487207,-312.7547961139876,GWh,ch
4115,0,2016,4,9,22,0,5,1,1597.2417872672916,1297.3581496518175,-299.8836376154741,GWh,ch
4116,0,2016,4,10,22,0,6,1,1573.4690456666665,1313.544525775812,-259.9245198908545,GWh,ch
4117,0,2016,4,11,22,0,0,0,1550.0595423612497,1294.2169432399266,-255.84259912132302,GWh,ch
4118,0,2016,4,12,22,0,1,0,1527.013277350625,1280.955116882416,-246.05816046820905,GWh,ch
4119,0,2016,4,13,22,0,2,0,1504.33025063,1265.3068478669513,-239.02340276304858,GWh,ch
4120,0,2016,4,14,22,0,3,0,1482.0104622045835,1250.3334352463046,-231.67702695827893,GWh,ch
4121,0,2016,4,15,22,0,4,0,1459.959318766667,1244.7009324677128,-215.25838629895406,GWh,ch
4122,0,2016,4,16,22,0,5,1,1438.6822469791666,1261.6196204369346,-177.062626542232,GWh,ch
4123,0,2016,4,17,22,0,6,1,1418.7243031464584,1313.649463330893,-105.07483981556538,GWh,ch
4124,0,2016,4,18,22,0,0,0,1400.08548726375,1296.3617099823127,-103.72377728143738,GWh,ch
4125,0,2016,4,19,22,0,1,0,1382.7657993310415,1280.875924264699,-101.88987506634248,GWh,ch
4126,0,2016,4,20,22,0,2,0,1366.7652393483334,1267.776262075132,-98.98897727320127,GWh,ch
4127,0,2016,4,21,22,0,3,0,1352.0838073156249,1257.7358669099806,-94.3479404056443,GWh,ch
4128,0,2016,4,22,22,0,4,0,1338.7215032329166,1268.4596677595448,-70.26183547337178,GWh,ch
4129,0,2016,4,23,22,0,5,1,1326.6783271002084,1294.5140329659857,-32.1642941342227,GWh,ch
4130,0,2016,4,24,22,0,6,1,1315.9542789175,1317.2456975681173,1.2914186506172882,GWh,ch
4131,0,2016,4,25,22,0,0,0,1306.5493586847917,1312.7922387635126,6.242880078720873,GWh,ch
4132,0,2016,4,26,22,0,1,0,1298.4635664020832,1308.4635059159132,9.999939513829986,GWh,ch
4133,0,2016,4,27,22,0,2,0,1291.6969020693748,1296.2226396263236,4.525737556948798,GWh,ch
4134,0,2016,4,28,22,0,3,0,1286.2493656866666,1289.847726567957,3.5983608812903185,GWh,ch
4135,0,2016,4,29,22,0,4,0,1282.1209572539583,1303.6586830237113,21.537725769753024,GWh,ch
4136,0,2016,4,30,22,0,5,1,1284.1855634847916,1307.623828035949,23.438264551157317,GWh,ch
4137,0,2016,5,1,22,0,6,1,1292.2045061920833,1137.5362762506118,-154.6682299414715,GWh,ch
4138,0,2016,5,2,22,0,0,0,1301.832943729375,1100.5867564471343,-201.24618728224073,GWh,ch
4139,0,2016,5,3,22,0,1,0,1313.0708760966666,1061.0794428804293,-251.99143321623728,GWh,ch
4140,0,2016,5,4,22,0,2,0,1325.9183032939584,1031.6657832481023,-294.25252004585604,GWh,ch
4141,0,2016,5,5,22,0,3,0,1340.3752253160417,1014.574455231329,-325.80077008471267,GWh,ch
4142,0,2016,5,6,22,0,4,0,1356.4416421633334,1000.6718961030833,-355.7697460602501,GWh,ch
4143,0,2016,5,7,22,0,5,1,1374.117553840625,1000.9114435300044,-373.2061103106207,GWh,ch
